creationDate|Person.id|Company.id|workFrom
2011-07-26T21:41:34.142+00:00|19791209299968|548|2007
2012-01-02T01:21:20.107+00:00|24189255811104|785|2001
2012-01-02T01:21:20.107+00:00|24189255811104|789|2001
2012-01-02T01:21:20.107+00:00|24189255811104|807|2001
2012-01-02T01:21:20.107+00:00|24189255811104|792|2001
2012-01-02T01:21:20.107+00:00|24189255811104|778|2002
2010-01-19T13:51:10.863+00:00|27|970|2008
2010-01-19T13:51:10.863+00:00|27|974|2008
2012-06-26T12:37:35.179+00:00|30786325577740|296|2009
2012-06-26T12:37:35.179+00:00|30786325577740|298|2008
2012-03-13T15:16:08.597+00:00|28587302322196|775|2008
2012-03-13T15:16:08.597+00:00|28587302322196|776|2007
2010-04-18T01:27:21.494+00:00|2199023255573|890|2008
2010-04-18T01:27:21.494+00:00|2199023255573|892|2008
2011-03-07T01:25:47.322+00:00|15393162788910|787|2009
2011-03-07T01:25:47.322+00:00|15393162788910|779|2008
2011-03-07T01:25:47.322+00:00|15393162788910|781|2009
2011-03-07T01:25:47.322+00:00|15393162788910|799|2008
2011-02-28T08:13:29.086+00:00|13194139533343|481|2002
2011-02-28T08:13:29.086+00:00|13194139533343|483|2002
2011-02-28T08:13:29.086+00:00|13194139533343|457|2000
2011-02-28T08:13:29.086+00:00|13194139533343|459|2002
2011-02-28T08:13:29.086+00:00|13194139533343|444|2001
2012-01-10T19:44:54.406+00:00|26388279066632|1|2005
2012-01-10T19:44:54.406+00:00|26388279066632|3|2006
2012-03-30T10:11:12.788+00:00|28587302322180|1564|2006
2012-03-30T10:11:12.788+00:00|28587302322180|1566|2007
2010-06-22T21:48:51.442+00:00|4398046511148|1027|2012
2010-06-22T21:48:51.442+00:00|4398046511148|1046|2004
2010-06-22T21:48:51.442+00:00|4398046511148|815|2010
2010-12-24T05:25:34.086+00:00|10995116277782|680|2007
2010-12-24T05:25:34.086+00:00|10995116277782|666|2008
2010-12-24T05:25:34.086+00:00|10995116277782|670|2008
2010-01-03T15:10:31.499+00:00|14|603|2004
2010-01-03T15:10:31.499+00:00|14|589|2004
2010-01-03T15:10:31.499+00:00|14|591|2005
2011-10-06T01:23:31.981+00:00|21990232555526|928|2008
2011-10-06T01:23:31.981+00:00|21990232555526|938|2008
2011-10-06T01:23:31.981+00:00|21990232555526|924|2009
2011-10-06T01:23:31.981+00:00|21990232555526|925|2007
2011-10-06T01:23:31.981+00:00|21990232555526|909|2008
2011-10-17T04:08:45.182+00:00|21990232555527|919|2005
2011-10-17T04:08:45.182+00:00|21990232555527|938|2006
2011-10-17T04:08:45.182+00:00|21990232555527|908|2006
2012-08-08T07:53:28.961+00:00|32985348833319|1056|2008
2012-08-08T07:53:28.961+00:00|32985348833319|1136|2007
2010-01-31T13:13:03.929+00:00|16|978|2005
2010-01-31T13:13:03.929+00:00|16|972|2006
2011-11-27T01:08:31.517+00:00|24189255811121|541|2001
2012-01-12T23:55:02.878+00:00|26388279066641|811|2002
2010-11-13T15:50:09.443+00:00|10995116277761|496|2006
2010-11-13T15:50:09.443+00:00|10995116277761|514|2005
2010-11-13T15:50:09.443+00:00|10995116277761|293|2006
2010-11-13T15:50:09.443+00:00|10995116277761|507|2006
2011-08-21T06:11:15.212+00:00|19791209300010|8|2001
2012-03-17T04:45:49.301+00:00|28587302322210|22|2004
2012-03-17T04:45:49.301+00:00|28587302322210|26|2010
2012-03-17T04:45:49.301+00:00|28587302322210|30|2008
2011-04-14T16:09:20.493+00:00|15393162788899|888|2011
2011-04-14T16:09:20.493+00:00|15393162788899|889|2012
2011-04-14T16:09:20.493+00:00|15393162788899|890|2012
2011-04-14T16:09:20.493+00:00|15393162788899|891|2012
2011-04-14T16:09:20.493+00:00|15393162788899|894|2011
2012-07-03T00:55:16.938+00:00|30786325577731|1043|2004
2012-07-03T00:55:16.938+00:00|30786325577731|999|2004
2012-07-03T00:55:16.938+00:00|30786325577731|1033|2005
2010-08-31T00:24:34.501+00:00|6597069766699|544|2010
2010-08-31T00:24:34.501+00:00|6597069766699|546|2011
2010-08-31T00:24:34.501+00:00|6597069766699|553|2010
2010-08-31T00:24:34.501+00:00|6597069766699|540|2010
2011-08-04T04:47:58.173+00:00|19791209299987|593|2006
2011-08-04T04:47:58.173+00:00|19791209299987|1572|2007
2011-08-04T04:47:58.173+00:00|19791209299987|1573|2006
2011-08-04T04:47:58.173+00:00|19791209299987|1574|2006
2011-03-12T15:40:42.861+00:00|15393162788877|1331|2009
2011-03-12T15:40:42.861+00:00|15393162788877|1333|2009
2011-03-12T15:40:42.861+00:00|15393162788877|1337|2010
2011-03-12T15:40:42.861+00:00|15393162788877|1340|2010
2011-03-12T15:40:42.861+00:00|15393162788877|1341|2009
2010-01-09T18:37:17.970+00:00|47|1227|2003
2010-01-09T18:37:17.970+00:00|47|1228|2004
2010-01-09T18:37:17.970+00:00|47|1229|2002
2010-01-09T18:37:17.970+00:00|47|1230|2003
